personname,finalworth_2022,finalworth_2018,selfmade
Beda Diethelm,2800,1000,True
K. Dinesh,2800,1000,True
Bennett Dorrance,2800,2000,False
Marcel Erni,2800,2000,True
Abhay Firodia,2800,2000,False
Alfred Gantner,2800,2000,True
Allan Goldman,2800,3000,False
Amy Goldman Fowler,2800,3000,False
J. Tomilson Hill,2800,1000,True
James Jannard,2800,4000,True
Travis Kalanick,2800,4000,True
Diane Kemper,2800,3000,False
Kwek Leng Beng,2800,2000,False
Angela Leong,2800,3000,False
Sergio Mantegazza,2800,2000,True
Hans Melchers,2800,2000,True
Tom Morris,2800,3000,True
Philip Niarchos,2800,2000,False
Sean Parker,2800,2000,True
Richard Peery,2800,2000,True
Jeff Rothschild,2800,2000,True
Stephen Smith,2800,1000,True
William Stone,2800,1000,True
Sun Hongbin,2800,7000,True
Sun Shoukuan,2800,1000,True
Andrew Tan,2800,2000,True
Kenneth Tuchman,2800,1000,True
Tung Chee Hwa,2800,2000,False
Bulat Utemuratov,2800,2000,True
Urs Wietlisbach,2800,2000,True
Wong Man Li,2800,2000,True
Ben Ashkenazy,2700,4000,True
Yvonne Bauer,2700,3000,False
Giuliana Benetton,2700,3000,True
Luciano Benetton,2700,3000,True
Aneel Bhusri,2700,1000,True
George Bishop,2700,2000,True
Vivek Chand Burman,2700,2000,False
Morris Chang,2700,1000,True
Jack Cockwell,2700,1000,True
"Edward DeBartolo, Jr.",2700,2000,False
Abilio dos Santos Diniz,2700,3000,False
"John Dorrance, III.",2700,2000,False
Carlos Hank Rhon,2700,2000,False
Brad Kelley,2700,2000,True
Alicia Koplowitz,2700,2000,False
C. Dean Metropoulos,2700,2000,True
Dan Olsson,2700,6000,False
Tor Peterson,2700,2000,True
John Pritzker,2700,2000,False
Hussain Sajwani,2700,4000,True
Jerry Yang,2700,2000,True
Takao Yasuda,2700,2000,True
Harindarpal Banga,2600,1000,True
Anne Beaufour,2600,3000,False
Henri Beaufour,2600,3000,False
Norman Braman,2600,2000,True
J. Hyatt Brown,2600,1000,False
Chen Lip Keong,2600,3000,True
Dong Wei,2600,2000,True
"Frank Fertitta, III.",2600,2000,False
Lorenzo Fertitta,2600,2000,False
Doris Fisher,2600,2000,True
Alec Gores,2600,2000,True
Igor Kesaev,2600,2000,True
Raj Kumar & Kishin RK,2600,2000,False
Nirmal Minda,2600,1000,False
Farhad Moshiri,2600,1000,True
Hans Georg Naeder,2600,3000,False
Eren Ozmen,2600,1000,True
Ronald Perelman,2600,9000,True
Ravi Pillai,2600,3000,True
Daniel Pritzker,2600,2000,False
Matthias Reinhart,2600,1000,True
Alejandro Santo Domingo,2600,4000,False
Vivek Chaand Sehgal,2600,6000,True
Kavitark Ram Shriram,2600,2000,True
Oprah Winfrey,2600,2000,True
Suhail Bahwan,2500,3000,True
Thor Bjorgolfsson,2500,2000,True
Charles Bronfman,2500,2000,False
Leon G. Cooperman,2500,3000,True
Smita Crishna-Godrej,2500,2000,False
Jacques D'Amours,2500,1000,True
Gerald Ford,2500,2000,True
Adi Godrej,2500,2000,False
Jamshyd Godrej,2500,2000,False
Nadir Godrej,2500,2000,False
Sanjiv Goenka,2500,2000,False
Stein Erik Hagen,2500,2000,True
Baba Kalyani,2500,3000,False
Stephen Lansdown,2500,2000,True
William Li,2500,1000,True
Aloke Lohia,2500,2000,False
Mohamed Mansour,2500,2000,True
Kishore Mariwala,2500,1000,False
Willy Michel,2500,1000,True
Lachhman Das Mittal,2500,2000,False
Charles Munger,2500,1000,True
Rishad Naoroji,2500,2000,False
Fatih Ozmen,2500,1000,True
Stewart Rahr,2500,2000,False
Glen Taylor,2500,2000,True
Zhao Tao,2500,2000,False
Edward Bass,2400,2000,False
Chao Teng-hsiung,2400,1000,True
Choo Chong Ngen,2400,2000,True
John Coates,2400,2000,True
Alexandra Daitch,2400,2000,False
John Fisher,2400,2000,False
Caroline Hagen Kjos,2400,2000,False
Lam Kong,2400,2000,True
Peter Lim,2400,2000,True
Sarah MacMillan,2400,2000,False
Kalanithi Maran,2400,5000,True
Lirio Parisotto,2400,1000,True
Alberto Roemmers,2400,1000,False
Rodney Sacks,2400,2000,True
Ferit Faik Sahenk,2400,2000,False
Hilton Schlosberg,2400,2000,True
Lucy Stitzer,2400,2000,False
Katsumi Tada,2400,2000,True
Tang Yiu,2400,2000,True
Hamdi Ulukaya,2400,1000,True
Peter Unger,2400,2000,True
Zhang Hongwei,2400,1000,True
Zhang Li,2400,3000,True
Alex Beard,2300,1000,True
Koos Bekker,2300,2000,True
Timothy Boyle,2300,2000,True
Anand Burman,2300,1000,False
Richard Chandler,2300,2000,False
R.G. Chandramogan,2300,1000,True
Chu Lam Yiu,2300,2000,True
Kommer Damen,2300,1000,False
Henry Davis,2300,1000,False
Ray Davis,2300,2000,True
Stephen Feinberg,2300,1000,True
Alexander Frolov,2300,2000,True
Serge Godin,2300,1000,True
Noam Gottesman,2300,2000,True
Yusuf Hamied,2300,1000,False
Bill Haslam,2300,2000,False
Hans-Werner Hector,2300,2000,True
Douglas Hsu,2300,1000,False
Erman Ilicak,2300,4000,True
Osman Kibar,2300,2000,True
Frank Laukien,2300,1000,False
Louis Le Duff,2300,2000,True
Solomon Lew,2300,1000,True
Liang Zhaoxian,2300,1000,False
Prayudh Mahagitsiri,2300,1000,False
Clayton Mathile,2300,2000,True
Erwin Franz Mueller,2300,2000,True
David Murdock,2300,2000,True
Rubens Ometto Silveira Mello,2300,1000,False
Heloise Pratt,2300,2000,False
Stephan Schmidheiny,2300,2000,False
Thomas Tull,2300,1000,True
Ted Turner,2300,2000,False
David Walentas,2300,2000,True
Christoph Zeller,2300,3000,False
Zhang Wanzhen,2300,1000,True
Michael Ashcroft,2200,1000,True
Brett Blundy,2200,1000,True
Robert Friedland,2200,1000,True
Phillip Frost,2200,2000,True
Jeffrey Gundlach,2200,1000,True
John Hancock,2200,1000,False
Hortensia Herrero,2200,2000,False
"B. Wayne Hughes, Jr.",2200,1000,False
Bruce Karsh,2200,2000,True
Christian Latouche,2200,2000,True
Martin Lau,2200,2000,True
Li Wa,2200,3000,True
Liang Xinjun,2200,3000,True
Lin Fanlian,2200,1000,True
Howard Marks,2200,2000,True
Craig McCaw,2200,1000,False
Vincent McMahon,2200,1000,True
Jonathan Nelson,2200,2000,True
Bianca Rinehart,2200,1000,False
Ginia Rinehart,2200,1000,False
Filiz Sahenk,2200,2000,False
S.D. Shibulal,2200,1000,True
Alexander Svetakov,2200,3000,True
Arvind Tiku,2200,2000,True
Torsten Toeller,2200,1000,True
Lang Walker,2200,2000,True
Hope Welker,2200,1000,False
William Young,2200,2000,True
Mohamed Al Fayed,2100,1000,True
Faisal Bin Qassim Al Thani,2100,1000,True
Lee Bass,2100,2000,False
Jim Breyer,2100,3000,True
Ron Burkle,2100,2000,True
Bruce Cheng,2100,1000,True
Dermot Desmond,2100,2000,True
Bob Ell,2100,1000,True
Lindsay Fox,2100,3000,True
Gordon Getty,2100,2000,False
Dennis Gillings,2100,1000,True
Harsh Goenka,2100,2000,False
David Hains,2100,2000,True
Bahaa Hariri,2100,2000,False
Shmuel Harlap,2100,1000,False
Gerry Harvey,2100,1000,True
Reid Hoffman,2100,3000,True
Thomas James,2100,1000,False
Eiichi Kuriwada,2100,1000,True
Lau Cho Kun,2100,2000,False
Harald Link,2100,2000,False
Igor Makarov,2100,2000,True
Alexander Mamut,2100,2000,True
Alice Schwartz,2100,1000,True
Peter Sondakh,2100,1000,True
Sukanto Tanoto,2100,1000,True
Jayshree Ullal,2100,1000,True
Sunny Varkey,2100,2000,False
Jitendra Virwani,2100,2000,False
Thomas Wu,2100,1000,False
Amy Wyss,2100,2000,False
S. Daniel Abraham,2000,2000,True
Andrey Andreev,2000,1000,True
Ramon Ang,2000,2000,True
Julio Bozano,2000,1000,True
Herb Chambers,2000,1000,True
Glenn Dubin,2000,2000,True
Robert Duggan,2000,2000,True
Maria Franca Fissolo,2000,2000,False
Ji Qi,2000,3000,True
Henry Laufer,2000,2000,True
Thomas Lee,2000,2000,True
Michael Lee-Chin,2000,1000,True
Li Xuhui,2000,1000,True
Lim Kok Thay,2000,4000,False
Joao Roberto Marinho,2000,2000,False
Jose Roberto Marinho,2000,2000,False
Roberto Irineu Marinho,2000,2000,False
Robert Miller,2000,4000,True
David Nahmad,2000,1000,True
Florentino Perez,2000,2000,True
Jennifer Pritzker,2000,1000,False
Linda Pritzker,2000,1000,False
P.V. Ramprasad Reddy,2000,2000,True
Maria-Elisabeth Schaeffler-Thumann,2000,6000,False
Thaksin Shinawatra,2000,1000,True
Alexander Skorobogatko,2000,3000,True
Sylvia Stroeher,2000,2000,False
Wichai Thongtang,2000,1000,True
Todd Wagner,2000,1000,True
Evan Williams,2000,1000,True
Yan Zhi,2000,10000,True
Michael Ying,2000,2000,True
Anu Aga,1900,1000,False
Joy Alukkas,1900,1000,False
Sezai Bacaksiz,1900,1000,True
Acharya Balkrishna,1900,6000,True
John Bloor,1900,1000,True
Nicola Bulgari,1900,1000,False
Alejandro Bulgheroni,1900,3000,False
Jose Luis Cutrale,1900,2000,False
James Dinan,1900,1000,True
Mario Gabelli,1900,1000,True
Reinold Geiger,1900,1000,True
Roberto Hernandez Ramirez,1900,1000,True
Hoi Kin Hong,1900,1000,True
Huang Qiaoling,1900,1000,True
Keeree Kanjanapas,1900,1000,True
Andrei Kozitsyn,1900,4000,True
Lei Jufang,1900,1000,True
David Lichtenstein,1900,1000,True
Yusaku Maezawa,1900,2000,True
Katarina Martinson,1900,1000,False
Pedro Moreira Salles,1900,5000,False
Alexander Nesis,1900,1000,True
Oei Hong Leong,1900,1000,False
Nihat Ozdemir,1900,1000,True
Gretel Packer,1900,1000,False
Victor Pinchuk,1900,1000,True
Alexander Ponomarenko,1900,3000,True
Qi Jinxing,1900,1000,True
Larry Robbins,1900,2000,True
Djoko Susanto,1900,1000,True
Sze Man Bok,1900,2000,True
Alain Taravella,1900,2000,True
Martin Viessmann,1900,5000,False
Georg von Opel,1900,2000,False
Wang Chaobin,1900,1000,True
Wei Yin-Heng,1900,1000,True
David Zalik,1900,2000,True
Leslie Alexander,1800,2000,True
Igor Altushkin,1800,3000,True
Roberto Angelini Rossi,1800,2000,False
Nigel Austin,1800,1000,True
O. Francis Biondi,1800,1000,True
Chen Xueli,1800,1000,True
Chi Yufeng,1800,1000,False
Mark Coombs,1800,2000,True
John de Mol,1800,2000,True
Alfredo Egydio Arruda Villela Filho,1800,2000,False
Paul Foster,1800,1000,True
James France,1800,1000,False
Yasuhiro Fukushima,1800,1000,True
Christopher Goldsbury,1800,1000,False
Alexandre Grendene Bartelle,1800,2000,True
Brian Higgins,1800,1000,True
Stanley Hubbard,1800,2000,False
Hui Lin Chit,1800,2000,True
Hal Jackman,1800,1000,True
Stephen Jarislowsky,1800,1000,True
George Joseph,1800,1000,True
Edward Lampert,1800,1000,True
Marc Lasry,1800,1000,True
Peter Leibinger,1800,1000,False
Regine Leibinger,1800,1000,False
Nicola Leibinger-Kammueller,1800,1000,False
Wolfgang Leitner,1800,2000,True
George Marcus,1800,1000,True
Yves-Loic Martin,1800,1000,True
Gary Michelson,1800,1000,True
Robert G. Miller,1800,2000,True
Fernando Roberto Moreira Salles,1800,5000,False
Joao Moreira Salles,1800,5000,False
Walther Moreira Salles Junior,1800,5000,False
Liora Ofer,1800,1000,False
Pierre Karl Péladeau,1800,1000,False
Phillip T. (Terry) Ragon,1800,2000,True
Krit Ratanarak,1800,2000,False
Jerry Reinsdorf,1800,1000,True
Rajju Shroff,1800,1000,True
Henry Swieca,1800,1000,True
Robert Toennies,1800,3000,False
Torbjorn Tornqvist,1800,2000,True
Charlotte Colket Weber,1800,1000,False
Wu Yulan,1800,1000,True
Elaine Wynn,1800,2000,True
Farkhad Akhmedov,1700,1000,True
Marc Andreessen,1700,1000,True
David Booth,1700,1000,True
Saket Burman,1700,1000,False
Phongthep Chiaravanont,1700,1000,False
Ivan Chrenko,1700,1000,True
Sol Daurella,1700,1000,False
Dulce Pugliese de Godoy Bueno,1700,2000,True
Norbert Dentressangle,1700,1000,True
Oleg Deripaska,1700,6000,True
Donald Foss,1700,1000,True
Rolf Gerling,1700,1000,False
William Heinecke,1700,2000,True
Michael Jordan,1700,1000,True
Dmitry Kamenshchik,1700,3000,True
Anthony Langley,1700,1000,True
James Leininger,1700,1000,True
Louise Lindh,1700,1000,False
Anand Mahindra,1700,1000,False
Billy Joe (Red) McCombs,1700,1000,True
Alberto Palatchi,1700,1000,True
Nelson Peltz,1700,1000,True
Jorge Perez,1700,3000,True
Arkady Rotenberg,1700,3000,True
Dieter Schnabel,1700,1000,False
Shao Qinxiang,1700,1000,True
Basudeo Singh,1700,1000,True
Gordon Wu,1700,1000,True
Yao Kuizhang,1700,1000,True
Vladimir Yevtushenkov,1700,2000,True
Zhang Yubai,1700,1000,True
Anita Zucker,1700,3000,False
Vasily Anisimov,1600,1000,True
Mori Arkin,1600,1000,True
Semahat Sevim Arsel,1600,2000,False
Clifford Asness,1600,3000,True
Louis Bacon,1600,1000,True
Amit Burman,1600,1000,False
Ana Lucia de Mattos Barretto Villela,1600,2000,False
Jamie Dimon,1600,1000,True
Gary Fegel,1600,1000,True
Gao Yunfeng,1600,1000,True
Sam Goi,1600,2000,True
Sergei Gordeev,1600,1000,True
Bill Gross,1600,1000,True
Lutz Mario Helmig,1600,2000,True
Ilkka Herlin,1600,1000,False
Asok Kumar Hiranandani,1600,1000,False
Anurang Jain,1600,1000,True
Richard Kayne,1600,1000,True
William Koch,1600,1000,False
Kagemasa Kozuki,1600,1000,True
Theodore Leonsis,1600,1000,True
David Xueling Li,1600,1000,True
Li Jiaquan,1600,1000,True
Li Rucheng,1600,1000,True
Li Sze Lim,1600,3000,True
Lim Wee Chai,1600,1000,True
Liu Ming Chung,1600,1000,True
Vincent Lo,1600,2000,False
Brandt Louie,1600,2000,False
Catherine Lozick,1600,2000,False
"Cargill MacMillan, III.",1600,1000,False
Duncan MacMillan,1600,1000,True
John MacMillan,1600,1000,False
Martha MacMillan,1600,1000,False
William MacMillan,1600,1000,False
Terence (Terry) Matthews,1600,1000,True
Kazuo Okada,1600,3000,True
Tomas Olivo Lopez,1600,2000,True
Brian Roberts,1600,1000,False
Sheryl Sandberg,1600,1000,True
Andres Santo Domingo,1600,4000,False
Gerald Schwartz,1600,1000,True
Sathien Setthasit,1600,1000,True
Niraj Shah,1600,1000,True
Evgeny (Eugene) Shvidler,1600,1000,True
Peter Sperling,1600,1000,False
David Teoh,1600,1000,True
Ion Tiriac,1600,1000,True
Clemens Toennies,1600,3000,True
Wei Ing-Chou,1600,1000,True
Wei Ying-Chiao,1600,1000,True
Yang Tingdong,1600,1000,True
Yu Peidi,1600,1000,True
Antti Aarnio-Wihuri,1500,2000,False
Chirayu Amin,1500,1000,False
Lesley Bamberger,1500,1000,False
Bernhard Braun-Luedicke,1500,2000,False
Eva Maria Braun-Luedicke,1500,2000,False
Ana Maria Brescia Cafferata,1500,1000,False
Nikolai Buinov,1500,2000,True
Paolo Bulgari,1500,1000,False
Ahmet Calik,1500,1000,True
Steve Case,1500,1000,True
Binod Chaudhary,1500,1000,False
Steve Conine,1500,1000,True
Eduardo Costantini,1500,1000,True
Bharat Desai,1500,1000,True
Mohammed Dewji,1500,1000,False
Domenico Dolce,1500,1000,True
Bulent Eczacibasi,1500,1000,False
Faruk Eczacibasi,1500,1000,False
Henry Engelhardt,1500,1000,True
Eduardo Eurnekian,1500,2000,True
John Farber,1500,1000,True
Stefano Gabbana,1500,1000,True
Geng Jianming,1500,2000,True
Alan Gerry,1500,1000,True
Balkrishan Goenka,1500,1000,True
Gu Wei,1500,1000,True
Torstein Hagen,1500,2000,True
Timothy Headington,1500,1000,False
Ilona Herlin,1500,1000,False
Niranjan Hiranandani,1500,1000,True
Drew Houston,1500,1000,True
Huang Rulun,1500,4000,True
Sidney Kimmel,1500,1000,True
Seth Klarman,1500,1000,True
Mustafa Rahmi Koc,1500,2000,False
Pyotr Kondrashev,1500,1000,True
Kong Jian Min,1500,2000,True
Hemendra Kothari,1500,1000,False
Youssef Mansour,1500,1000,True
David McMurtry,1500,1000,True
Massimo Moratti,1500,1000,False
Robert Mouawad,1500,1000,False
Ezra Nahmad,1500,1000,False
Kentaro Ogawa,1500,1000,True
Niti Osathanugrah,1500,1000,False
Karl-Johan Persson,1500,1000,False
Markus Persson,1500,1000,True
Tom Persson,1500,1000,False
Kevin Plank,1500,1000,True
Andreas Pohl,1500,1000,False
"Reinfried Pohl, Jr.",1500,1000,False
Fernando Roig,1500,1000,False
Fayez Sarofim,1500,1000,False
Antonio Luiz Seabra,1500,1000,True
Yuri Shefler,1500,1000,True
Mikhail Shelkov,1500,1000,True
Charlotte Soderstrom,1500,1000,False
Thomas Steyer,1500,1000,True
Kevin Systrom,1500,1000,True
Hary Tanoesoedibjo,1500,1000,True
Jonathan Tisch,1500,1000,False
Wilma Tisch,1500,1000,False
Kenny Troutt,1500,1000,True
Myron Wentz,1500,1000,True
Radhe Shyam Agarwal,1400,1000,True
Syed Mokhtar AlBukhary,1400,1000,True
Patricia Angelini Rossi,1400,2000,False
Elena Baturina,1400,1000,True
Thomas Bruch,1400,1000,False
Richard Chang,1400,1000,True
Chen Tianqiao,1400,1000,True
Chin Jong Hwa,1400,2000,True
Darwin Deason,1400,1000,True
Diego Della Valle,1400,1000,False
Mark Dixon,1400,1000,True
Radhe Shyam Goenka,1400,1000,True
Ayman Hariri,1400,1000,False
Christoph Henkel,1400,2000,False
Johan Johannson,1400,4000,False
Ramesh Juneja,1400,2000,True
Viktor Kharitonin,1400,1000,True
Kurt Krieger,1400,3000,True
Mustafa Kucuk,1400,2000,True
Jenny Lindén Urnes,1400,1000,False
Anatoly Lomakin,1400,1000,True
Jeffrey Lorberbaum,1400,2000,False
Gary Magness,1400,1000,False
Vadim Moshkovich,1400,2000,True
Marius Nacht,1400,1000,True
Adam Neumann,1400,2000,True
Simon Nixon,1400,1000,True
Stefan Olsson,1400,2000,False
Ranjan Pai,1400,1000,False
Mark Pincus,1400,1000,True
Alexey Repik,1400,2000,True
Subhash Runwal,1400,1000,True
Carlos Sanchez,1400,2000,False
Martin Selig,1400,1000,True
Bhadresh Shah,1400,1000,True
Ben Silbermann,1400,1000,True
Sun Qinghuan,1400,1000,True
Tong Jinquan,1400,2000,True
John Van Lieshout,1400,1000,True
Wang Jian,1400,3000,True
Gavril Yushvaev,1400,1000,True
Zhuo Jun,1400,1000,False
Alberto Alcocer,1300,1000,True
Alexandra Andresen,1300,1000,False
Katharina Andresen,1300,1000,False
Mehmet Aydinlar,1300,1000,True
Angela Bennett,1300,1000,False
Oleg Boyko,1300,1000,True
Anna Maria Braun,1300,1000,False
Edouard Carmignac,1300,1000,True
Jeffrey Cheah,1300,1000,True
Chen Shiliang,1300,1000,True
Cheng Xianfeng,1300,1000,True
Chua Thian Poh,1300,1000,True
Alberto Cortina,1300,1000,True
Sandor Csanyi,1300,1000,True
Richard Desmond,1300,1000,True
Susumu Fujita,1300,1000,True
Francis Holder,1300,1000,True
Zarakh Iliev,1300,3000,True
Mitchell Jacobson,1300,1000,False
Yuri Kovalchuk,1300,1000,True
Michael Krasny,1300,1000,True
Heikki Kyostila,1300,2000,True
Liu Ming Hui,1300,2000,True
Martin Moller Nielsen,1300,2000,True
Yoshiko Mori,1300,2000,False
Mofatraj Munot,1300,2000,True
God Nisanov,1300,3000,True
Vadim Novinsky,1300,1000,True
Forrest Preston,1300,1000,True
Lily Safra,1300,1000,False
Deniz Sahenk,1300,1000,False
Thomas Sandell,1300,1000,True
Albert Shigaboutdinov,1300,1000,True
Nobutoshi Shimamura,1300,1000,True
Ron Sim,1300,1000,True
Terry Snow,1300,1000,True
Manny Stul,1300,1000,True
Rustem Sulteev,1300,1000,True
Tony Tan Caktiong,1300,4000,True
Jim Thompson,1300,1000,True
Wan Long,1300,1000,True
Wang Jianyi,1300,1000,True
"Alfred West, Jr.",1300,1000,True
Dan Wilks,1300,1000,True
Farris Wilks,1300,1000,True
Kostyantin Zhevago,1300,1000,True
Zhu Xingliang,1300,2000,True
Hamad bin Jassim bin Jaber Al Thani,1200,1000,False
Mika Anttonen,1200,2000,True
Jose Maria Aristrain,1200,1000,False
Emilio Azcarraga Jean,1200,1000,False
Thomas Bailey,1200,1000,True
Andrei Bokarev,1200,2000,True
Ludwig Theodor Braun,1200,1000,False
Friederike Braun-Luedicke,1200,2000,False
Yvon Chouinard,1200,1000,True
Gleb Fetisov,1200,1000,True
Robert Fisher,1200,1000,False
William Fisher,1200,1000,False
J. Christopher Flowers,1200,1000,True
Bernd Freier,1200,1000,True
Dan Gertler,1200,1000,False
Richard Hayne,1200,1000,True
Huang Shih Tsai,1200,2000,True
Mohammed Ibrahim,1200,1000,True
Hedda im Brahm-Droege,1200,2000,True
Chatchai Kaewbootta,1200,1000,True
Andrei Kosogov,1200,1000,True
Guy Laliberté,1200,1000,True
David Penaloza Alanis,1200,1000,False
Stefan Pierer,1200,1000,True
Murdaya Poo,1200,2000,False
Michael Price,1200,1000,False
Andrei Rappoport,1200,1000,True
Helena Revoredo,1200,2000,False
Nobutada Saji,1200,1000,False
Leonard Schleifer,1200,1000,True
Airat Shaimiev,1200,1000,True
Radik Shaimiev,1200,1000,True
Vijay Shekhar Sharma,1200,1000,True
Michael Steinhardt,1200,1000,True
Lucio Tan,1200,4000,True
Yoshikazu Tanaka,1200,1000,True
Sam Tarascio,1200,1000,True
Alexander Tedja,1200,1000,True
Laurie Tisch,1200,1000,False
Steven Tisch,1200,1000,False
Wim van der Leegte,1200,1000,False
Thongma Vijitpongpun,1200,1000,True
Horst Wortmann,1200,1000,True
Wu Chung-yi,1200,1000,False
Xiu Laigui,1200,1000,True
Joao Alves de Queiroz Filho,1100,2000,True
Sara Blakely,1100,1000,True
Henadiy Boholyubov,1100,1000,True
Turgay Ciner,1100,1000,True
Gabriel Escarrer,1100,1000,True
Paul Fireman,1100,1000,True
Donald Friese,1100,1000,True
Soichiro Fukutake,1100,1000,False
Stelios Haji-Ioannou,1100,1000,False
Ronnen Harary,1100,1000,True
Eduardo Hochschild,1100,1000,False
Jonas Kamprad,1100,1000,False
Mathias Kamprad,1100,1000,False
Peter Kamprad,1100,1000,False
Samvel Karapetyan,1100,3000,True
Alexander Karp,1100,1000,True
Koh Wee Meng,1100,1000,True
Sergei Kolesnikov,1100,1000,True
Nancy Lerner,1100,1000,False
Norma Lerner,1100,1000,False
Randolph Lerner,1100,1000,False
Li Tan,1100,1000,True
Ma Xiuhui,1100,1000,True
Yasseen Mansour,1100,1000,True
Kerr Neilson,1100,1000,True
Anton Rabie,1100,1000,True
Igor Rybakov,1100,1000,True
K. Rai Sahi,1100,1000,True
Analjit Singh,1100,1000,False
Dirk Stroeer,1100,1000,False
Mehmet Sinan Tara,1100,1000,False
Robert Toll,1100,1000,True
Surin Upatkoon,1100,1000,True
Murat Vargi,1100,1000,True
Allan Wong,1100,1000,True
Yang Erzhu,1100,1000,True
Yu Rong,1100,1000,True
Zhang Cheng Fei,1100,1000,True
Krishna Kumar Bangur,1000,1000,False
Johanna Braun,1000,1000,False
Karl Friedrich Braun,1000,1000,False
Jean-Pierre Cayard,1000,4000,False
Tony Chen,1000,1000,True
Vivien Chen,1000,2000,False
Pollyanna Chu,1000,7000,True
Sefik Yilmaz Dizdar,1000,1000,True
Charles Dunstone,1000,1000,True
Polys Haji-Ioannou,1000,1000,False
Hiroshi Ishibashi,1000,1000,False
Bent Jensen,1000,1000,False
Morris Kahn,1000,1000,True
Eugene Kaspersky,1000,1000,True
Ihor Kolomoyskyy,1000,1000,True
Liu Baolin,1000,1000,True
Bruce Nordstrom,1000,1000,False
Roberto Ongpin,1000,1000,True
Ren Zhengfei,1000,2000,True
Francisco Jose Riberas Mera,1000,2000,False
Boris Rotenberg,1000,1000,True
Alan Rydge,1000,1000,True
Oliver Samwer,1000,1000,True
Axel Stawski,1000,1000,True
Peter-Alexander Wacker,1000,1000,False
"Richard Yuengling, Jr.",1000,1000,False
